year|subject|topic|exam|exercise|exercise_type
2010|química|solubilidad|Junio|Ejercicio 3 Opción A|cálculo de la solubilidad o el producto de solubilidad
2010|química|solubilidad|Reserva 2|Ejercicio 3 Opcion A|efecto del ion común teórico
2010|química|solubilidad|Reserva 3|Ejercicio 5 Opción B|cálculo de la solubilidad (efecto ion común)
2010|química|solubilidad|Reserva 4|Ejercicio 6 Opción A|influencia del pH
2011|química|solubilidad|Reserva 1|Ejercicio 3 Opción A|efecto del ion común teórico
2011|química|solubilidad|Reserva 2|Ejercicio 3 Opción A|cuestiones teóricas
2011|química|solubilidad|Reserva 4|Ejercicio 5 Opción B|cálculo de la solubilidad o el producto de solubilidad
2011|química|solubilidad|Septiembre|Ejercicio 6 Opción A|cálculo de la solubilidad (efecto ion común)
2012|química|solubilidad|Junio|Ejercicio 3 Opción A|efecto del ion común teórico
2012|química|solubilidad|Reserva 3|Ejercicio 5 Opción B|cálculo de la solubilidad (efecto ion común)
2012|química|solubilidad|Reserva 4|Ejercicio 6 Opción A|formación de precipitado
2012|química|solubilidad|Septiembre|Ejercicio 3 Opcion A|efecto del ion común teórico
2013|química|solubilidad|Junio|Ejercicio 3 Opción A|cuestiones teóricas
2013|química|solubilidad|Reserva 1|Ejercicio 3 Opcion A|cálculo de la solubilidad (efecto ion común)
2013|química|solubilidad|Reserva 2|Ejercicio 5 Opción B|cálculo de la solubilidad (efecto ion común)
2013|química|solubilidad|Reserva 4|Ejercicio 6 Opción A|cálculo de la solubilidad o el producto de solubilidad
2014|química|solubilidad|Junio|Ejercicio 5 Opción B|cálculo de la solubilidad o el producto de solubilidad
2014|química|solubilidad|Reserva 2|Ejercicio 3 Opción A|influencia del pH
2014|química|solubilidad|Reserva 4|Ejercicio 6 Opción A|formación de precipitado
2014|química|solubilidad|Septiembre|Ejercicio 3 Opción A|cuestiones teóricas
2015|química|solubilidad|Junio|Ejercicio 3 Opción A|efecto del ion común teórico
2015|química|solubilidad|Reserva 2|Ejercicio 3 Opcion A|cuestiones teóricas
2015|química|solubilidad|Reserva 4|Ejercicio 5 Opción B|cálculo de la solubilidad o el producto de solubilidad
2015|química|solubilidad|Septiembre|Ejercicio 6 Opcióon A|formación de precipitado
2016|química|solubilidad|Reserva 1|Ejercicio 6 Opción A|cálculo de la solubilidad o el producto de solubilidad
2016|química|solubilidad|Reserva 2|Ejercicio 3 Opción A|efecto del ion común teórico
2016|química|solubilidad|Septiembre|Ejercicio 5 Opción B|cálculo de la solubilidad o el producto de solubilidad
2017|química|solubilidad|Junio|Ejercicio 5 Opción B|cálculo de la solubilidad o el producto de solubilidad
2017|química|solubilidad|Reserva 2|Ejercicio 6 Opción A|cálculo de la solubilidad (efecto ion común)
2017|química|solubilidad|Reserva 3|Ejercicio 6 Opción A|cálculo de la solubilidad (efecto ion común)
2017|química|solubilidad|Reserva 4|Ejercicio 3 Opción B|influencia del pH
2017|química|solubilidad|Septiembre|Ejercicio 3 Opción A|cuestiones teóricas
2018|química|solubilidad|Junio|Ejercicio 5 Opción B|formación de precipitado
2018|química|solubilidad|Reserva 1|Ejercicio 6 Opción A|cálculo de la solubilidad (efecto ion común)
2018|química|solubilidad|Reserva 2|Ejercicio 3 Opción A|cuestiones teóricas
2018|química|solubilidad|Reserva 4|Ejercicio 6 Opción A|cálculo de la solubilidad (efecto ion común)
2018|química|solubilidad|Septiembre|Ejercicio 3 Opción B|cuestiones teóricas
2019|química|solubilidad|Junio|Ejercicio 6 Opción A|formación de precipitado
2019|química|solubilidad|Reserva 1|Ejercicio 3 Opción A|cuestiones teóricas
2019|química|solubilidad|Reserva 2|Ejercicio 3 Opción B|influencia del pH
2019|química|solubilidad|Reserva 3|Ejercicio 6 Opción A|formación de precipitado
2019|química|solubilidad|Reserva 4|Ejercicio 5 Opción B|cálculo de la solubilidad (efecto ion común)
2020|química|solubilidad|Junio|C2|cálculo de la solubilidad (efecto ion común)
2020|química|solubilidad|Reserva 1|Ejercicio C2|formación de precipitado
2020|química|solubilidad|Reserva 2|Ejercicio Bs|efecto del ion común teórico
2020|química|solubilidad|Reserva 2|Ejercicio C2|formación de precipitado
2020|química|solubilidad|Reserva 3|Ejercicio C2|cálculo de la solubilidad (efecto ion común)
2020|química|solubilidad|Reserva 4|Ejercicio C2|influencia del pH
2020|química|solubilidad|Septiembre|B5|cuestiones teóricas
2020|química|solubilidad|Septiembre|C4|formación de precipitado
2021|química|solubilidad|Junio|Ejercicio C2|cálculo de la solubilidad (efecto ion común)
2021|química|solubilidad|Reserva 1|Ejercicio C4|cálculo de la solubilidad (efecto ion común)
2021|química|solubilidad|Reserva 2|Ejercicio C2|formación de precipitado
2021|química|solubilidad|Reserva 3|Ejercicio B5|cuestiones teóricas
2021|química|solubilidad|Reserva 3|Ejercicio C2|cálculo de la solubilidad o el producto de solubilidad
2021|química|solubilidad|Reserva 4|Ejercicio B6|efecto del ion común teórico
2021|química|solubilidad|Reserva
