exam_name|statement
química - solubilidad - 2025 - Julio - Ejercicio 2B|"La K ; del Ca(OH), a25""C es 5-10-5
a) A partir del equilibrio correspondiente, escriba la expresión del producto de solubilidad en
función de la solubilidad molar.
b) Razone si la solubilidad del Ca(OH), en agua aumentará al añadir CaCl ,.
c) Justifique si se producirá precipitado de Ca(OH) , en una disolución a 25 *C en la que
[Ca?*]=10-""M y [0H-]=10?M
d) Razono cómo varía la solubilidad al disminuir el pH de una disolución de Ca(OH) ,
QUÍMICA. 2025. JULIO. EJERCICIO 2B"
química - solubilidad - 2021 - Reserva 3 - Ejercicio C2|"La solubilidad del carbonato de plata, Ag,CO,, a 25*C es 0'0318 g-L'.
a) Calcule la concentración molar de ion plata en una disolución saturada de carbonato de
plata a 25*C.
b) Calcule la constante del producto de solubilidad del carbonato de plata a 25*C.
Masas atómicas relativas: Ag = 1078; C =12; O = 16.
QUIÍMICA. 2021. RESERVA 3. EJERCICIO C2"
química - solubilidad - 2020 - Reserva 2 - Ejercicio Bs|"Sabiendo que el valor de K, del Mg(OH), a 25%C es 1'2-10-"".
a) Exprese el valor de K_ en función de la solubilidad.
b) Razone cómo afectará a su solubilidad en agua la adición de MgF, a la disolución.
c) Justifique cómo afectará a su solubilidad un aumento de pH.
QUIMICA. 2020. RESERVA 2. EJERCICIO BS"
química - solubilidad - 2018 - Reserva 4 - Ejercicio 6 Opción A|"Basándose en las reacciones químicas correspondientes, calcule la concentración de ion
fluoruro:
a) En una disolución saturada de fluoruro de calcio (CaF ,).
b) Si la disolución es además 0,2 M en cloruro de calcio (CaCl ,). Dato: K ¿(CaF,)=3,9-10 _
QUÍMICA. 2018. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química - solubilidad - 2011 - Reserva 2 - Ejercicio 3 Opción A|"Se dispone de una disolución acuosa saturada de Ag,CrO, con una pequeña cantidad de
precipitado en el fondo. Razone cómo afecta a la cantidad de precipitado la adición de:
a) Agua.
b) Una disolución acuosa de cromato de sodio.
c) Una disolución acuosa de nitrato de plata.
QUÍMICA. 2011. RESERVA 2. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2016 - Reserva 2 - Ejercicio 3 Opción A|"Sabiendo que el valor de K ¿ del Ca(OH) , a una determinada temperatura es: 5'5-10-*
a) Exprese el valor de K ; en función de la solubilidad molar (s).
b) Razone cómo afectará a su solubilidad en agua la adición de CaCl , ala disolución.
c) Razone cómo afectará a su solubilidad en agua la adición de HCI a la disolución.
QUIMICA. 2016. RESERVA 2. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2012 - Junio - Ejercicio 3 Opción A|"En un vaso de agua se pone una cierta cantidad de una sal poco soluble, de fórmula general
AB ,, y no se disuelve completamente. El producto de solubilidad es K ;:
a) Deduzca la expresión que relaciona la concentración molar de A** con el producto de
solubilidad de la sal.
b) Si se añade una cantidad de sal muy soluble CB,. Indique, razonadamente, la variación que
se produce en la solubilidad de la sal AB;.
c) Si B es el ión OH-. ¿Cómo influye la disminución del pH en la solubilidad del compuesto?.
QUÍMICA. 2012. JUNIO. EJERCICIO 3. OPCIÓN A"
química - solubilidad - 2014 - Junio - Ejercicio 5 Opción B|"Se disuelve hidróxido de cobalto(II) en agua hasta obtener una disolución saturada a una
temperatura dada. Se conoce que la concentración de iones OH”- es 3-10 -* M. Calcule:
a) La concentración de iones Co”* de esta disolución.
b) El valor de la constante del producto de solubilidad del compuesto poco soluble a esta
temperatura.
QUÍMICA. 2014. JUNIO. EJERCICIO 5. OPCIÓN B"
química - solubilidad - 2012 - Reserva 3 - Ejercicio 5 Opción B|"El pH de una disolución saturada de Mg(OH), en agua pura, a una cierta temperatura es de
1038.
a) ¿Cuál es la solubilidad molar del hidróxido de magnesio a esa temperatura? Calcule el
producto de solubilidad.
b) ¿Cuál es la solubilidad del hidróxido de magnesio en una disolución 0%01M de hidróxido de
sodio?
QUIMICA. 2012. RESERVA 3. EJERCICIO 5. OPCIÓN B"
química - solubilidad - 2011 - Septiembre - Ejercicio 6 Opción A|"A cierta temperatura el producto de solubilidad en agua del AgI es 8'3-10-7, Para esa
temperatura, calcule la solubilidad molar del compuesto en:
a) Una disolución 0?1 M de AgNO;.
b) Una disolución de ácido yodhídrico de pH =2.
QUÍMICA. 2011. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
